bridge_id,road,name,condition,length,lat,lon,avg_trucks_crossed,broken_pct,norm_traffic,norm_connectivity,criticality_score,criticality_rank,failure_rate,expected_delay,mean_delay_when_failed,mean_vehicles_delayed,norm_criticality,norm_vulnerability,priority_equal,priority_crit_heavy,priority_vuln_heavy,priority_rank,quadrant
2000464,N2,SATANKONADI BRIDGE,A,3,24.27658265,91.4042639,29387.2,0.0,0.9682257278034768,0.0,0.6777580094624337,41,0.1,26308.0,263080.0,1809.9,0.6777580094624337,0.06247043648569838,0.37011422297406604,0.49317173756941307,0.24705670837871896,68,A
2000453,N2,GORIPUR BOX CULVERT,B,3,24.2655278,91.3821382,29383.3,0.0,0.9680972337537396,0.0,0.6776680636276177,43,0.1,25807.4,258074.0,1776.2,0.6776680636276177,0.06128172200703256,0.3694748928173251,0.4927521611414421,0.2461976244932081,69,A
1000592,N1,Bridge start,B,0,22.49686075,91.71559725,16918.6,29.41,0.5574203666363552,0.5843433339956289,0.5654972568441372,87,0.5,72244.8,144489.6,4981.3,0.5654972568441372,0.17155101831465647,0.36852413757939684,0.44731338528529296,0.28973488987350066,70,A
1000450,N1,PURPU DURGAPURE BOX CUL,C,12,22.8239438,91.5528333,16922.4,29.41,0.5575455659668683,0.5843433339956289,0.5655848963754965,68,0.2,71785.6,358928.0,1934.5,0.5655848963754965,0.1704606114257165,0.36802275390060646,0.44704761089056244,0.2889978969106505,71,A
1000616,N1,Bridge start,B,0,22.430596549999997,91.74162465,16918.2,29.41,0.5574071877594592,0.5843433339956289,0.5654880316303101,90,0.6,70410.7,117351.16666666667,4861.4,0.5654880316303101,0.16719580212344393,0.366341916876877,0.4460003627782503,0.2866834709755038,72,A
2000248,N2,Sonarampur Bridge (2 bridges at crossing),C,80,24.03802745,91.0244993,20721.4,0.0,0.6827119492876818,0.0,0.4778983645013772,137,0.3,107151.6,357172.0,1602.2,0.4778983645013772,0.25443998867800516,0.36616917658969117,0.4108608517543656,0.32147750142501674,73,A
2000767,N2,Aminnagar Bridge (2 bridges at crossing),A,30,24.61699935,91.660125,20645.8,0.0,0.6802211415543168,0.0,0.4761547990880217,141,0.2,104453.5,522267.5,2818.2,0.4761547990880217,0.2480331358316442,0.36209396745983297,0.40771830011110843,0.31646963480855744,74,A
2000458,N2,SHARALDI BOX CULVERT,A,2,24.2710271,91.3923052,29385.4,0.0,0.968166422857444,0.0,0.6777164960002109,42,0.1,16028.6,160286.0,1106.3,0.6777164960002109,0.038061184364249094,0.35788884018223,0.4858199025094223,0.22995777785503763,75,A
1000101,N1,Bhaber char Bridge(R) (4 bridges at crossing),A,30,23.5563333,90.659,15580.3,0.0,0.5133271392611921,0.0,0.3593289974828345,251,0.5,149270.0,298540.0,4048.2,0.3593289974828345,0.35445347628934915,0.3568912368860918,0.3578663411247889,0.35591613264739475,76,A
2000106,N2,BASAIL BRIDGE OVER ROAD (2 bridges at crossing),A,25,23.930818799999997,90.70466665,20757.8,0.0,0.6839112270852278,0.0,0.4787378589596594,120,0.4,96912.9,242282.25,2619.9,0.4787378589596594,0.2301273819406583,0.3544326204501589,0.40415471585395907,0.30471052504635865,77,A
