road,id,model_type,name,lat,lon,length,condition,lrp
N1,1000414,link,link 360,23.4191382,91.1721938,935,,LRP094a
N1,1000415,link,link 361,23.4195271,91.171416,90,,LRP094
N1,1000416,link,link 362,23.4213604,91.167666,434,,LRP093c
N1,1000417,link,link 363,23.423416,91.1632778,503,,LRP093b
N1,1000418,link,link 364,23.4235827,91.1629722,36,,LRP093a
N1,1000419,bridge,Bridge start,23.4235827,91.1629722,0,B,LRP093a
N1,1000420,link,link 365,23.4236938,91.1626944,31,,LRP093
N1,1000421,link,link 366,23.4288882,91.1553889,943,,LRP092
N1,1000422,link,link 367,23.4373886,91.1521944,1000,,LRP091
N1,1000423,link,link 368,23.4425274,91.1497774,622,,LRP090
N1,1000424,link,link 369,23.4469441,91.1481386,519,,LRP089c
N1,1000425,link,link 370,23.4486386,91.1472497,209,,LRP089b
N1,1000426,link,link 371,23.448833,91.1471386,24,,LRP089a
N1,1000427,bridge,Bridge start,23.448833,91.1471386,0,B,LRP089a
N1,1000428,link,link 372,23.4513056,91.1460552,296,,LRP089
N1,1000429,link,link 373,23.459,91.142333,936,,LRP088a
N1,1000430,link,link 374,23.4595833,91.1421386,68,,LRP088
N1,1000431,link,link 375,23.4682216,91.1394441,999,,LRP087
N1,1000432,link,link 376,23.4767216,91.1364441,993,,LRP086
N1,1000433,link,link 377,23.4800827,91.1276382,973,,LRP085
N1,1000434,link,link 378,23.4793327,91.1234716,433,,LRP084b
N1,1000435,bridge,TIPRA BAZAR BOX CULVERT,23.4793327,91.1234716,1,A,LRP084b
N1,1000436,link,link 379,23.4789716,91.118166,543,,LRP084a
N1,1000437,link,link 380,23.4789716,91.1179993,17,,LRP084
N1,1000438,link,link 381,23.4789438,91.1177216,28,,LRP083a
N1,1000439,link,link 382,23.4779993,91.1055278,1248,,LRP083
N1,1000440,link,link 383,23.4778604,91.1036111,196,,LRP082a
N1,1000441,link,link 384,23.4775549,91.0986663,505,,LRP082
N1,1000442,link,link 385,23.4781938,91.0889997,988,,LRP081
N1,1000443,link,link 386,23.4770271,91.0794716,980,,LRP080
N1,1000444,link,link 387,23.4770827,91.0789993,49,,LRP079a
N1,1000445,link,link 388,23.4801104,91.0706382,917,,LRP079
N1,1000446,link,link 389,23.4815549,91.0613611,960,,LRP078
N1,1000447,link,link 390,23.4815271,91.0590278,238,,LRP077a
N1,1000448,link,link 391,23.4821382,91.0516944,751,,LRP077
N1,1000449,link,link 392,23.4820827,91.0504167,130,,LRP076a
N1,1000450,link,link 393,23.4814716,91.0419719,864,,LRP076
N1,1000451,link,link 394,23.481166,91.0404441,159,,LRP075a
N1,1000452,link,link 395,23.4827771,91.0321382,866,,LRP075
N1,1000453,link,link 396,23.4846386,91.0229438,960,,LRP074
N1,1000454,link,link 397,23.488333,91.0140833,993,,LRP073
N1,1000455,link,link 398,23.4889441,91.01225,199,,LRP072b
N1,1000456,link,link 399,23.4890552,91.0120278,26,,LRP072a
N1,1000457,bridge,Bridge start,23.4890552,91.0120278,0,B,LRP072a
N1,1000458,link,link 400,23.4893052,91.0112778,81,,LRP072
N1,1000459,link,link 401,23.4896108,91.0043056,712,,LRP071
