road,id,model_type,name,lat,lon,length,condition,lrp,small_truck,medium_truck,heavy_truck,aadt
N1,1000154,link,link 129,23.5292216,90.8365274,989,,LRP052,928.0,4941.0,348.0,11681.0
N1,1000155,link,link 130,23.5270549,90.8391386,359,,LRP052a,928.0,4941.0,348.0,11681.0
N1,1000156,link,link 131,23.523166,90.8438886,649,,LRP053,928.0,4941.0,348.0,11681.0
N1,1000157,link,link 132,23.5174993,90.8513889,991,,LRP054,928.0,4941.0,348.0,11681.0
N1,1000158,link,link 133,23.5170827,90.8607778,958,,LRP055,928.0,4941.0,348.0,11681.0
N1,1000159,link,link 134,23.5135833,90.8697771,997,,LRP056,928.0,4941.0,348.0,11681.0
N1,1000160,link,link 135,23.5133056,90.8703049,62,,LRP056a,928.0,4941.0,348.0,11681.0
N1,1000161,bridge,Bridge start,23.51320835,90.87047155,0,B,LRP056a,928.0,4941.0,348.0,11681.0
N1,1000162,link,link 136,23.5131111,90.8706382,0,,LRP056b,928.0,4941.0,348.0,11681.0
N1,1000163,link,link 137,23.5126667,90.871416,93,,LRP056c,928.0,4941.0,348.0,11681.0
N1,1000164,link,link 138,23.5088056,90.8778604,785,,LRP057,928.0,4941.0,348.0,11681.0
N1,1000165,link,link 139,23.506,90.8869163,975,,LRP058,928.0,4941.0,348.0,11681.0
N1,1000166,link,link 140,23.5056111,90.8958886,916,,LRP058a,928.0,4941.0,348.0,11681.0
N1,1000167,link,link 141,23.5056389,90.8966108,74,,LRP059,928.0,4941.0,348.0,11681.0
N1,1000168,link,link 142,23.5062778,90.9063889,1000,,LRP060,928.0,4941.0,348.0,11681.0
N1,1000169,link,link 143,23.50575,90.91525,905,,LRP060a,928.0,4941.0,348.0,11681.0
N1,1000170,link,link 144,23.5057222,90.9160278,79,,LRP061,928.0,4941.0,348.0,11681.0
N1,1000171,link,link 145,23.5055278,90.9257216,989,,LRP062,928.0,4941.0,348.0,11681.0
N1,1000172,link,link 146,23.5042778,90.9354163,998,,LRP063,928.0,4941.0,348.0,11681.0
N1,1000173,link,link 147,23.5043333,90.9354719,8,,LRP063a,928.0,4941.0,348.0,11681.0
N1,1000174,link,link 148,23.5038611,90.9371386,178,,LRP063b,928.0,4941.0,348.0,11681.0
N1,1000175,link,link 149,23.5028611,90.9412774,436,,LRP063c,928.0,4941.0,348.0,11681.0
N1,1000176,link,link 150,23.5020278,90.9448886,380,,LRP064,928.0,4941.0,348.0,11681.0
N1,1000177,link,link 151,23.4995274,90.9541667,986,,LRP065,928.0,4941.0,348.0,11681.0
