LRP_No,Road_Chainage,LRP_Type,Description,Latitude_Decimal,Longitude_Decimal,Road
LRP461b,457.201,Culvert,Box culvert,20.8977497,92.2836941,N1
LRP461c,457.411,Bridge,Bridge start,20.8969163,92.2854441,N1
LRP461d,457.444,Bridge,Bridge end,20.8967774,92.2857219,N1
LRP461e,457.491,Culvert,Box culvert,20.8965552,92.286083,N1
LRP461f,457.71,Culvert,Box culvert,20.8953608,92.2877219,N1
LRP461g,457.794,Culvert,Box culvert,20.8948052,92.2881941,N1
LRP461h,457.897,Bridge,Bridge start,20.894083,92.2887774,N1
LRP461i,457.921,Bridge,Bridge end,20.8939441,92.2889163,N1
LRP461j,458.026,Culvert,Box culvert,20.8932774,92.2896386,N1
LRP461k,458.105,Culvert,Box culvert,20.8927774,92.2901386,N1
LRP462,458.126,Km Post,Km post missing,20.8926386,92.2902774,N1
LRP462a,458.297,Bridge,Bridge start,20.8919163,92.2916663,N1
LRP462b,458.317,Bridge,Bridge end,20.8918886,92.2918052,N1
LRP463,458.373,Km Post,Teknaf 4 km,20.891833,92.2923052,N1
LRP463a,459.115,Bridge,Bridge start,20.8889163,92.2982497,N1
LRP463b,459.13,Bridge,Bridge end,20.888833,92.2983886,N1
LRP464,459.388,Km Post,Info.Missing,20.8869441,92.2996386,N1
LRP464a,459.521,Culvert,Box culvert,20.8858608,92.2991941,N1
LRP464b,459.995,Culvert,Box culvert,20.8820271,92.2977774,N1
LRP465,460.426,Km Post,Teknaf 2 km,20.8782216,92.2977774,N1
LRP465a,460.589,Bridge,Bridge start,20.8768604,92.2978886,N1
LRP465b,460.632,Bridge,Bridge end,20.8764993,92.2978886,N1
LRP466,461.426,Km Post,Km post missing,20.8692771,92.2981386,N1
LRP466a,461.476,Culvert,Box culvert,20.8688604,92.2982219,N1
LRP466b,461.904,Bridge,Bridge start,20.8650278,92.2982497,N1
LRP466c,461.946,Bridge,Bridge end,20.8646667,92.2981941,N1
LRP467,462.124,Km Post,Infor.missing,20.8629722,92.298083,N1
LRPE,462.254,Others,"End of Road at Shapla Chattar ,Teknaf Meet with Z1098 &Z1099.",20.8629167,92.298083,N1
LRPS,0,Others,Start of road from N1 Mainamati,23.4789716,91.1181938,N102
LRPS,0,Others,Start of road from N1 Mainamati,23.4789716,91.1181938,N102
LRPS,0,Others,Start of road from N1 Mainamati,23.4789716,91.1181938,N102
LRPSa,0.329,Culvert,Box Culvert,23.4815827,91.1167771,N102
LRPSb,0.995,Culvert,Box Culvert,23.4866663,91.1133611,N102
LRP001,1,Km Post,Km post missing,23.4867219,91.1133056,N102
LRP002,2,Km Post,B Baria 68 km Sylhet 248 km,23.4935274,91.1069167,N102
LRP002a,2.064,Culvert,Box Culvert,23.4937774,91.1064722,N102
LRP002b,2.365,Culvert,Box Culvert,23.496333,91.1059167,N102
LRP002c,2.52,Culvert,Box Culvert,23.4976941,91.1055833,N102
LRP003,3,Km Post,Km post missing,23.5020278,91.1050556,N102
LRP004,4,Km Post,Km post missing,23.5093333,91.0996386,N102
LRP004a,4.261,Culvert,Box Culvert,23.5112222,91.0981108,N102
LRP005,5,Km Post,Km post missing,23.5166389,91.0939441,N102
LRP006,6.056,Km Post,B Baria 66 km Sylhet 244 km,23.5246104,91.0887774,N102
LRP007,7.056,Km Post,"B. Bari 65 km, Sylhet 243 km",23.5322771,91.0834719,N102
LRP007a,7.08,Culvert,Box Culvert,23.5323882,91.0834719,N102
LRP008,8.081,Km Post,B Baria 64 km Sylhet 242 km,23.5419441,91.0772771,N102
LRP008a,8.537,Bridge,Bridge start,23.5421941,91.0742493,N102
LRP008b,8.554,Bridge,Bridge End,23.5423052,91.0741382,N102
LRP009,9.05,Km Post,B Baria 63 km Sylhet 241 km,23.5457774,91.0706104,N102
LRP009a,9.723,Culvert,Box Culvert,23.5501111,91.0661389,N102
LRP010,10.05,Km Post,Km post missing,23.5523611,91.064,N102
LRP010a,10.16,Cross Road,Z 1219 Left Nimsar Right  	 Burichang,23.5531111,91.0633333,N102
