bridge_id,name,road,condition,length,broken_down,total_delay_min,vehicles_delayed,replication,seed
1001334,Changkhali Boro Bridge (2 bridges at crossing),N1,A,22,False,0,0,1,1234567
1001337,JAM TOLI BOX CULVERT,N1,A,3,False,0,0,1,1234567
1001341,DAIM PARA CULVERT,N1,A,5,False,0,0,1,1234567
1001346,DAIM PARA CULVERT,N1,A,3,False,0,0,1,1234567
1001350,PALONG KHALI CULVERT,N1,C,3,False,0,0,1,1234567
1001354,PALONG KHALI BAZAR (1),N1,C,9,False,0,0,1,1234567
1001358,Bridge start,N1,B,0,False,0,0,1,1234567
1001362,GIRA TALI RCC GIDER BRIDGE (2 bridges at crossing),N1,C,15,False,0,0,1,1234567
1001365,GIVA TOLI BOX CULVERT,N1,A,1,False,0,0,1,1234567
1001369,Kata Khali Bridge (2 bridges at crossing),N1,D,12,False,0,0,1,1234567
1001373,KHARA KANDI RCC GIDER BRIDGE (2 bridges at crossing),N1,B,15,False,0,0,1,1234567
1001379,DMONIR GONA RCC GIDER BRIDGE,N1,A,3,False,0,0,1,1234567
1001384,BALUR KHALI -(1) RCC GIDER BRIDGE,N1,B,5,False,0,0,1,1234567
1001390,WHIKE KANG BRIDGE,N1,A,3,False,0,0,1,1234567
1001392,MOA EX-KANG-BAZAR (2 bridges at crossing),N1,C,13,False,0,0,1,1234567
1001394,HOA EX KANG BAZAE,N1,A,3,False,0,0,1,1234567
1001396,Hoacx Kang Barbar Bridge (2 bridges at crossing),N1,B,73,False,0,0,1,1234567
1001402,TASSI-PARA BAR,N1,A,3,False,0,0,1,1234567
1001405,TAS SE BRIDGE HOANGK (2 bridges at crossing),N1,B,13,False,0,0,1,1234567
1001409,LAMBA-BIL PORA,N1,A,1,False,0,0,1,1234567
1001411,LAMBA - BIL - (1) BOX CULVERT,N1,A,3,False,0,0,1,1234567
1001413,LAMBA BIL (3) BOX CULVERT,N1,A,1,False,0,0,1,1234567
1001417,LAMBA BIL BOX,N1,C,1,False,0,0,1,1234567
1001425,KUTUB DIA PARA CULVERT,N1,A,3,False,0,0,1,1234567
1001428,KUTUB - DIA PARA (3),N1,A,4,False,0,0,1,1234567
1001430,KANGOR PARA,N1,A,3,False,0,0,1,1234567
1001433,KHANGOR PRAMARY (2),N1,A,1,False,0,0,1,1234567
1001438,KHANCHOR PARA (2),N1,A,1,False,0,0,1,1234567
1001443,NAYAPARA,N1,A,6,False,0,0,1,1234567
1001446,NOYA PARA,N1,A,1,False,0,0,1,1234567
1001448,GIMON KHALI BRIDGE,N1,B,6,False,0,0,1,1234567
1001450,GIM - MOGARI BRIDGE (2 bridges at crossing),N1,C,8,False,0,0,1,1234567
1001454,NINA BAZAR BOX CULVERT,N1,A,1,False,0,0,1,1234567
1001458,NOYA BAZAR BRIDGE (2 bridges at crossing),N1,B,31,False,0,0,1,1234567
1001463,KHARANG KHALI - BOX CUVERT (1),N1,C,3,False,0,0,1,1234567
1001468,KHARANG KHAIL,N1,C,1,False,0,0,1,1234567
1001473,MOULOVI BAZAR BOX CULVERT,N1,C,1,False,0,0,1,1234567
1001475,ALI AXBAR PARA BOX CULVERT,N1,A,6,False,0,0,1,1234567
1001483,Bridge start,N1,B,0,False,0,0,1,1234567
1001487,NILA DOGA PARA BOX CULVERT,N1,A,3,False,0,0,1,1234567
1001495,RONGI- KHALI RCC GIDER BRIDGE (2 bridges at crossing),N1,C,12,False,0,0,1,1234567
